tag_pk 	tag_title 	variable_phv 	variable_full_accession 	dataset_full_accession 	study_full_accession 	study_name 	study_phs 	study_version 	created 	modified 
8	Resting arm diastolic BP	122562	phv00122562.v1.p1	pht001902.v1.p1	phs000284.v1.p1	Cleveland Family Study	284	1	2017-12-27 23:04:02+00:00	2017-12-27 23:04:02+00:00 
8	Resting arm diastolic BP	122564	phv00122564.v1.p1	pht001902.v1.p1	phs000284.v1.p1	Cleveland Family Study	284	1	2017-12-27 23:04:08+00:00	2017-12-27 23:04:08+00:00 
8	Resting arm diastolic BP	122648	phv00122648.v1.p1	pht001902.v1.p1	phs000284.v1.p1	Cleveland Family Study	284	1	2017-12-27 23:04:16+00:00	2017-12-27 23:04:16+00:00 
8	Resting arm diastolic BP	100436	phv00100436.v1.p1	pht001452.v1.p1	phs000287.v6.p1	Cardiovascular Health Study (CHS)	287	6	2018-01-08 21:27:18+00:00	2018-01-08 21:27:18+00:00 
8	Resting arm diastolic BP	128371	phv00128371.v1.p1	pht001974.v1.p1	phs000286.v5.p1	Jackson Heart Study	286	5	2018-02-22 21:10:22+00:00	2018-02-22 21:10:22+00:00 
8	Resting arm diastolic BP	128372	phv00128372.v1.p1	pht001974.v1.p1	phs000286.v5.p1	Jackson Heart Study	286	5	2018-02-22 21:10:22+00:00	2018-02-22 21:10:22+00:00 
8	Resting arm diastolic BP	128374	phv00128374.v1.p1	pht001974.v1.p1	phs000286.v5.p1	Jackson Heart Study	286	5	2018-02-22 21:10:22+00:00	2018-02-22 21:10:22+00:00 
8	Resting arm diastolic BP	128375	phv00128375.v1.p1	pht001974.v1.p1	phs000286.v5.p1	Jackson Heart Study	286	5	2018-02-22 21:10:22+00:00	2018-02-22 21:10:22+00:00 
8	Resting arm diastolic BP	128377	phv00128377.v1.p1	pht001974.v1.p1	phs000286.v5.p1	Jackson Heart Study	286	5	2018-02-22 21:10:22+00:00	2018-02-22 21:10:22+00:00 
8	Resting arm diastolic BP	125872	phv00125872.v1.p1	pht001941.v1.p1	phs000286.v5.p1	Jackson Heart Study	286	5	2018-02-22 21:39:31+00:00	2018-02-22 21:39:31+00:00 
8	Resting arm diastolic BP	125877	phv00125877.v1.p1	pht001941.v1.p1	phs000286.v5.p1	Jackson Heart Study	286	5	2018-02-22 21:45:49+00:00	2018-02-22 21:45:49+00:00 
8	Resting arm diastolic BP	125882	phv00125882.v1.p1	pht001941.v1.p1	phs000286.v5.p1	Jackson Heart Study	286	5	2018-02-22 21:45:49+00:00	2018-02-22 21:45:49+00:00 
8	Resting arm diastolic BP	125887	phv00125887.v1.p1	pht001941.v1.p1	phs000286.v5.p1	Jackson Heart Study	286	5	2018-02-22 21:45:49+00:00	2018-02-22 21:45:49+00:00 
8	Resting arm diastolic BP	125892	phv00125892.v1.p1	pht001941.v1.p1	phs000286.v5.p1	Jackson Heart Study	286	5	2018-02-22 21:45:49+00:00	2018-02-22 21:45:49+00:00 
8	Resting arm diastolic BP	125897	phv00125897.v1.p1	pht001941.v1.p1	phs000286.v5.p1	Jackson Heart Study	286	5	2018-02-22 21:45:49+00:00	2018-02-22 21:45:49+00:00 
8	Resting arm diastolic BP	529	phv00000529.v1.p10	pht000009.v2.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:35:49+00:00	2018-02-27 12:35:49+00:00 
8	Resting arm diastolic BP	531	phv00000531.v1.p10	pht000009.v2.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:36:09+00:00	2018-02-27 12:36:09+00:00 
8	Resting arm diastolic BP	533	phv00000533.v1.p10	pht000009.v2.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:36:20+00:00	2018-02-27 12:36:20+00:00 
8	Resting arm diastolic BP	621	phv00000621.v1.p10	pht000009.v2.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:36:33+00:00	2018-02-27 12:36:33+00:00 
8	Resting arm diastolic BP	623	phv00000623.v1.p10	pht000009.v2.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:36:43+00:00	2018-02-27 12:36:43+00:00 
8	Resting arm diastolic BP	625	phv00000625.v1.p10	pht000009.v2.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:36:55+00:00	2018-02-27 12:36:55+00:00 
8	Resting arm diastolic BP	641	phv00000641.v1.p10	pht000009.v2.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:37:09+00:00	2018-02-27 12:37:09+00:00 
8	Resting arm diastolic BP	643	phv00000643.v1.p10	pht000009.v2.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:37:19+00:00	2018-02-27 12:37:19+00:00 
8	Resting arm diastolic BP	645	phv00000645.v1.p10	pht000009.v2.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:37:33+00:00	2018-02-27 12:37:33+00:00 
8	Resting arm diastolic BP	720	phv00000720.v1.p10	pht000009.v2.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:37:43+00:00	2018-02-27 12:37:43+00:00 
8	Resting arm diastolic BP	722	phv00000722.v1.p10	pht000009.v2.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:37:53+00:00	2018-02-27 12:37:53+00:00 
8	Resting arm diastolic BP	758	phv00000758.v1.p10	pht000009.v2.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:38:04+00:00	2018-02-27 12:38:04+00:00 
8	Resting arm diastolic BP	760	phv00000760.v1.p10	pht000009.v2.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:39:14+00:00	2018-02-27 12:39:14+00:00 
8	Resting arm diastolic BP	762	phv00000762.v1.p10	pht000009.v2.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:39:26+00:00	2018-02-27 12:39:26+00:00 
8	Resting arm diastolic BP	834	phv00000834.v1.p10	pht000009.v2.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:39:40+00:00	2018-02-27 12:39:40+00:00 
8	Resting arm diastolic BP	836	phv00000836.v1.p10	pht000009.v2.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:39:51+00:00	2018-02-27 12:39:51+00:00 
8	Resting arm diastolic BP	838	phv00000838.v1.p10	pht000009.v2.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:40:04+00:00	2018-02-27 12:40:04+00:00 
8	Resting arm diastolic BP	919	phv00000919.v1.p10	pht000009.v2.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:40:16+00:00	2018-02-27 12:40:16+00:00 
8	Resting arm diastolic BP	921	phv00000921.v1.p10	pht000009.v2.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:40:30+00:00	2018-02-27 12:40:30+00:00 
8	Resting arm diastolic BP	923	phv00000923.v1.p10	pht000009.v2.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:40:44+00:00	2018-02-27 12:40:44+00:00 
8	Resting arm diastolic BP	1042	phv00001042.v1.p10	pht000010.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:43:35+00:00	2018-02-27 12:43:35+00:00 
8	Resting arm diastolic BP	1044	phv00001044.v1.p10	pht000010.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:43:45+00:00	2018-02-27 12:43:45+00:00 
8	Resting arm diastolic BP	1046	phv00001046.v1.p10	pht000010.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:44:00+00:00	2018-02-27 12:44:00+00:00 
8	Resting arm diastolic BP	1196	phv00001196.v1.p10	pht000011.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:44:17+00:00	2018-02-27 12:44:17+00:00 
8	Resting arm diastolic BP	1198	phv00001198.v1.p10	pht000011.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:44:30+00:00	2018-02-27 12:44:30+00:00 
8	Resting arm diastolic BP	1200	phv00001200.v1.p10	pht000011.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:44:44+00:00	2018-02-27 12:44:44+00:00 
8	Resting arm diastolic BP	1371	phv00001371.v1.p10	pht000012.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:45:08+00:00	2018-02-27 12:45:08+00:00 
8	Resting arm diastolic BP	1373	phv00001373.v1.p10	pht000012.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:45:19+00:00	2018-02-27 12:45:19+00:00 
8	Resting arm diastolic BP	1375	phv00001375.v1.p10	pht000012.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:45:32+00:00	2018-02-27 12:45:32+00:00 
8	Resting arm diastolic BP	1568	phv00001568.v1.p10	pht000013.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:46:32+00:00	2018-02-27 12:46:32+00:00 
8	Resting arm diastolic BP	1570	phv00001570.v1.p10	pht000013.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:46:50+00:00	2018-02-27 12:46:50+00:00 
8	Resting arm diastolic BP	1572	phv00001572.v1.p10	pht000013.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:47:02+00:00	2018-02-27 12:47:02+00:00 
8	Resting arm diastolic BP	1810	phv00001810.v1.p10	pht000014.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:47:18+00:00	2018-02-27 12:47:18+00:00 
8	Resting arm diastolic BP	1812	phv00001812.v1.p10	pht000014.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:47:33+00:00	2018-02-27 12:47:33+00:00 
8	Resting arm diastolic BP	1814	phv00001814.v1.p10	pht000014.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:47:45+00:00	2018-02-27 12:47:45+00:00 
8	Resting arm diastolic BP	2025	phv00002025.v1.p10	pht000015.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:48:05+00:00	2018-02-27 12:48:05+00:00 
8	Resting arm diastolic BP	2027	phv00002027.v1.p10	pht000015.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:48:17+00:00	2018-02-27 12:48:17+00:00 
8	Resting arm diastolic BP	2029	phv00002029.v1.p10	pht000015.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:48:28+00:00	2018-02-27 12:48:28+00:00 
8	Resting arm diastolic BP	2209	phv00002209.v1.p10	pht000016.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:48:50+00:00	2018-02-27 12:48:50+00:00 
8	Resting arm diastolic BP	2211	phv00002211.v1.p10	pht000016.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:49:05+00:00	2018-02-27 12:49:05+00:00 
8	Resting arm diastolic BP	2213	phv00002213.v1.p10	pht000016.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:49:17+00:00	2018-02-27 12:49:17+00:00 
8	Resting arm diastolic BP	2430	phv00002430.v1.p10	pht000017.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:49:28+00:00	2018-02-27 12:49:28+00:00 
8	Resting arm diastolic BP	2432	phv00002432.v1.p10	pht000017.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:49:39+00:00	2018-02-27 12:49:39+00:00 
8	Resting arm diastolic BP	2434	phv00002434.v1.p10	pht000017.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:49:56+00:00	2018-02-27 12:49:56+00:00 
8	Resting arm diastolic BP	2674	phv00002674.v1.p10	pht000018.v4.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:50:10+00:00	2018-02-27 12:50:10+00:00 
8	Resting arm diastolic BP	2676	phv00002676.v1.p10	pht000018.v4.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:50:21+00:00	2018-02-27 12:50:21+00:00 
8	Resting arm diastolic BP	2678	phv00002678.v1.p10	pht000018.v4.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:50:33+00:00	2018-02-27 12:50:33+00:00 
8	Resting arm diastolic BP	2948	phv00002948.v1.p10	pht000019.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:52:58+00:00	2018-02-27 12:52:58+00:00 
8	Resting arm diastolic BP	3173	phv00003173.v1.p10	pht000019.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:53:15+00:00	2018-02-27 12:53:15+00:00 
8	Resting arm diastolic BP	3177	phv00003177.v1.p10	pht000019.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:53:43+00:00	2018-02-27 12:53:43+00:00 
8	Resting arm diastolic BP	3247	phv00003247.v1.p10	pht000019.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:54:01+00:00	2018-02-27 12:54:01+00:00 
8	Resting arm diastolic BP	3307	phv00003307.v1.p10	pht000020.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:54:16+00:00	2018-02-27 12:54:16+00:00 
8	Resting arm diastolic BP	3317	phv00003317.v1.p10	pht000020.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:55:36+00:00	2018-02-27 12:55:36+00:00 
8	Resting arm diastolic BP	3592	phv00003592.v1.p10	pht000020.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:56:20+00:00	2018-02-27 12:56:20+00:00 
8	Resting arm diastolic BP	3676	phv00003676.v1.p10	pht000021.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:56:35+00:00	2018-02-27 12:56:35+00:00 
8	Resting arm diastolic BP	3689	phv00003689.v1.p10	pht000021.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:56:49+00:00	2018-02-27 12:56:49+00:00 
8	Resting arm diastolic BP	3691	phv00003691.v1.p10	pht000021.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:57:03+00:00	2018-02-27 12:57:03+00:00 
8	Resting arm diastolic BP	4092	phv00004092.v1.p10	pht000022.v4.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:57:27+00:00	2018-02-27 12:57:27+00:00 
8	Resting arm diastolic BP	4107	phv00004107.v1.p10	pht000022.v4.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:57:46+00:00	2018-02-27 12:57:46+00:00 
8	Resting arm diastolic BP	4109	phv00004109.v1.p10	pht000022.v4.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:58:02+00:00	2018-02-27 12:58:02+00:00 
8	Resting arm diastolic BP	4534	phv00004534.v1.p10	pht000023.v4.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:58:22+00:00	2018-02-27 12:58:22+00:00 
8	Resting arm diastolic BP	4547	phv00004547.v1.p10	pht000023.v4.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:58:36+00:00	2018-02-27 12:58:36+00:00 
8	Resting arm diastolic BP	4549	phv00004549.v1.p10	pht000023.v4.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:58:48+00:00	2018-02-27 12:58:48+00:00 
8	Resting arm diastolic BP	5139	phv00005139.v1.p10	pht000024.v4.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:59:09+00:00	2018-02-27 12:59:09+00:00 
8	Resting arm diastolic BP	5229	phv00005229.v1.p10	pht000024.v4.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:59:26+00:00	2018-02-27 12:59:26+00:00 
8	Resting arm diastolic BP	5549	phv00005549.v1.p10	pht000024.v4.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 12:59:55+00:00	2018-02-27 12:59:55+00:00 
8	Resting arm diastolic BP	5767	phv00005767.v1.p10	pht000025.v4.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:00:10+00:00	2018-02-27 13:00:10+00:00 
8	Resting arm diastolic BP	5856	phv00005856.v1.p10	pht000025.v4.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:00:21+00:00	2018-02-27 13:00:21+00:00 
8	Resting arm diastolic BP	5935	phv00005935.v1.p10	pht000025.v4.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:00:35+00:00	2018-02-27 13:00:35+00:00 
8	Resting arm diastolic BP	6042	phv00006042.v1.p10	pht000026.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:00:51+00:00	2018-02-27 13:00:51+00:00 
8	Resting arm diastolic BP	6044	phv00006044.v1.p10	pht000026.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:01:05+00:00	2018-02-27 13:01:05+00:00 
8	Resting arm diastolic BP	6251	phv00006251.v1.p10	pht000026.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:01:18+00:00	2018-02-27 13:01:18+00:00 
8	Resting arm diastolic BP	6253	phv00006253.v1.p10	pht000026.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:01:29+00:00	2018-02-27 13:01:29+00:00 
8	Resting arm diastolic BP	6337	phv00006337.v1.p10	pht000027.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:02:28+00:00	2018-02-27 13:02:28+00:00 
8	Resting arm diastolic BP	6513	phv00006513.v1.p10	pht000027.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:30:52+00:00	2018-02-27 13:30:52+00:00 
8	Resting arm diastolic BP	6608	phv00006608.v1.p10	pht000027.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:31:09+00:00	2018-02-27 13:31:09+00:00 
8	Resting arm diastolic BP	6681	phv00006681.v1.p10	pht000028.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:31:22+00:00	2018-02-27 13:31:22+00:00 
8	Resting arm diastolic BP	6922	phv00006922.v1.p10	pht000028.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:31:36+00:00	2018-02-27 13:31:36+00:00 
8	Resting arm diastolic BP	7042	phv00007042.v1.p10	pht000028.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:32:11+00:00	2018-02-27 13:32:11+00:00 
8	Resting arm diastolic BP	7111	phv00007111.v1.p10	pht000029.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:32:30+00:00	2018-02-27 13:32:30+00:00 
8	Resting arm diastolic BP	7475	phv00007475.v1.p10	pht000029.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:32:44+00:00	2018-02-27 13:32:44+00:00 
8	Resting arm diastolic BP	7573	phv00007573.v5.p10	pht000030.v7.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:33:20+00:00	2018-02-27 13:33:20+00:00 
8	Resting arm diastolic BP	7575	phv00007575.v5.p10	pht000030.v7.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:33:30+00:00	2018-02-27 13:33:30+00:00 
8	Resting arm diastolic BP	7577	phv00007577.v5.p10	pht000030.v7.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:33:40+00:00	2018-02-27 13:33:40+00:00 
8	Resting arm diastolic BP	7684	phv00007684.v5.p10	pht000031.v7.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:34:05+00:00	2018-02-27 13:34:05+00:00 
8	Resting arm diastolic BP	7686	phv00007686.v5.p10	pht000031.v7.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:34:16+00:00	2018-02-27 13:34:16+00:00 
8	Resting arm diastolic BP	7688	phv00007688.v5.p10	pht000031.v7.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:34:29+00:00	2018-02-27 13:34:29+00:00 
8	Resting arm diastolic BP	8161	phv00008161.v5.p10	pht000031.v7.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:35:21+00:00	2018-02-27 13:35:21+00:00 
8	Resting arm diastolic BP	8540	phv00008540.v5.p10	pht000032.v6.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:40:11+00:00	2018-02-27 13:40:11+00:00 
8	Resting arm diastolic BP	8712	phv00008712.v5.p10	pht000032.v6.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:41:04+00:00	2018-02-27 13:41:04+00:00 
8	Resting arm diastolic BP	8757	phv00008757.v5.p10	pht000033.v8.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:41:25+00:00	2018-02-27 13:41:25+00:00 
8	Resting arm diastolic BP	8759	phv00008759.v5.p10	pht000033.v8.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:41:43+00:00	2018-02-27 13:41:43+00:00 
8	Resting arm diastolic BP	8771	phv00008771.v5.p10	pht000033.v8.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:41:55+00:00	2018-02-27 13:41:55+00:00 
8	Resting arm diastolic BP	9396	phv00009396.v5.p10	pht000034.v7.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:42:15+00:00	2018-02-27 13:42:15+00:00 
8	Resting arm diastolic BP	9487	phv00009487.v5.p10	pht000034.v7.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:44:12+00:00	2018-02-27 13:44:12+00:00 
8	Resting arm diastolic BP	9559	phv00009559.v5.p10	pht000034.v7.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:44:23+00:00	2018-02-27 13:44:23+00:00 
8	Resting arm diastolic BP	9906	phv00009906.v5.p10	pht000035.v8.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:44:34+00:00	2018-02-27 13:44:34+00:00 
8	Resting arm diastolic BP	10001	phv00010001.v5.p10	pht000035.v8.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:44:57+00:00	2018-02-27 13:44:57+00:00 
8	Resting arm diastolic BP	10123	phv00010123.v5.p10	pht000035.v8.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:45:19+00:00	2018-02-27 13:45:19+00:00 
8	Resting arm diastolic BP	10361	phv00010361.v5.p10	pht000036.v8.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:45:33+00:00	2018-02-27 13:45:33+00:00 
8	Resting arm diastolic BP	10434	phv00010434.v5.p10	pht000036.v8.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:46:01+00:00	2018-02-27 13:46:01+00:00 
8	Resting arm diastolic BP	10508	phv00010508.v5.p10	pht000036.v8.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:46:15+00:00	2018-02-27 13:46:15+00:00 
8	Resting arm diastolic BP	21093	phv00021093.v4.p10	pht000074.v10.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:46:28+00:00	2018-02-27 13:46:28+00:00 
8	Resting arm diastolic BP	21148	phv00021148.v4.p10	pht000074.v10.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:46:43+00:00	2018-02-27 13:46:43+00:00 
8	Resting arm diastolic BP	21240	phv00021240.v4.p10	pht000074.v10.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:46:54+00:00	2018-02-27 13:46:54+00:00 
8	Resting arm diastolic BP	55257	phv00055257.v5.p10	pht000395.v8.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:48:47+00:00	2018-02-27 13:48:47+00:00 
8	Resting arm diastolic BP	55286	phv00055286.v5.p10	pht000395.v8.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:51:02+00:00	2018-02-27 13:51:02+00:00 
8	Resting arm diastolic BP	55288	phv00055288.v5.p10	pht000395.v8.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:51:11+00:00	2018-02-27 13:51:11+00:00 
8	Resting arm diastolic BP	55290	phv00055290.v5.p10	pht000395.v8.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:51:19+00:00	2018-02-27 13:51:19+00:00 
8	Resting arm diastolic BP	56836	phv00056836.v2.p10	pht000397.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:51:40+00:00	2018-02-27 13:51:40+00:00 
8	Resting arm diastolic BP	56854	phv00056854.v2.p10	pht000397.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:51:53+00:00	2018-02-27 13:51:53+00:00 
8	Resting arm diastolic BP	56856	phv00056856.v2.p10	pht000397.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:52:10+00:00	2018-02-27 13:52:10+00:00 
8	Resting arm diastolic BP	70376	phv00070376.v1.p10	pht000692.v2.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:53:30+00:00	2018-02-27 13:53:30+00:00 
8	Resting arm diastolic BP	70501	phv00070501.v1.p10	pht000692.v2.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:53:42+00:00	2018-02-27 13:53:42+00:00 
8	Resting arm diastolic BP	70558	phv00070558.v1.p10	pht000692.v2.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:54:01+00:00	2018-02-27 13:54:01+00:00 
8	Resting arm diastolic BP	72139	phv00072139.v4.p10	pht000747.v5.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:54:13+00:00	2018-02-27 13:54:13+00:00 
8	Resting arm diastolic BP	72213	phv00072213.v4.p10	pht000747.v5.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:54:27+00:00	2018-02-27 13:54:27+00:00 
8	Resting arm diastolic BP	177354	phv00177354.v2.p10	pht003094.v4.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:55:51+00:00	2018-02-27 13:55:51+00:00 
8	Resting arm diastolic BP	177419	phv00177419.v2.p10	pht003094.v4.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:56:10+00:00	2018-02-27 13:56:10+00:00 
8	Resting arm diastolic BP	250294	phv00250294.v1.p10	pht004813.v1.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:56:40+00:00	2018-02-27 13:56:40+00:00 
8	Resting arm diastolic BP	250562	phv00250562.v1.p10	pht004813.v1.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:56:52+00:00	2018-02-27 13:56:52+00:00 
8	Resting arm diastolic BP	250653	phv00250653.v1.p10	pht004813.v1.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:57:15+00:00	2018-02-27 13:57:15+00:00 
8	Resting arm diastolic BP	250916	phv00250916.v1.p10	pht004814.v1.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:59:28+00:00	2018-02-27 13:59:28+00:00 
8	Resting arm diastolic BP	250995	phv00250995.v1.p10	pht004814.v1.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-27 13:59:47+00:00	2018-02-27 13:59:47+00:00 
